PSEUDO R2,BIAS,MAE,RMAE,CommonPartOfCommuters,Within R2,sha,path
0.9182151463474963,135533762.9555038,291792178.920558,0.2204315628437576,0.8951517996622275,0.19744191637677222,e073c2d6c459232b76090602de5d6b5bf63bcea4,../GNN_model/DCRNN_OLS_trade_predictions.csv
0.6550219331539004,-11807046.33609439,807478022.1769836,0.6100014162439857,0.6936329687086507,-2.385283751884244,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Gravity_model/trade_prediction.csv
0.9754546910339396,-8410733.462841362,211299457.57043374,0.1596241195791948,0.9199335769198921,0.7591358882973501,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Random_forest/trade_prediction.csv
0.9754546910339396,-8410733.462841362,211299457.57043374,0.1596241195791948,0.9199335769198921,0.7591358882973501,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Random_forest/trade_prediction_ver_2.0.csv
0.9313188465026002,-211841109.33278665,345175942.250944,0.2607598075038108,0.8582801480965179,0.3260290570903468,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-04-28_01-55-14.csv
0.793219486904787,-482326684.5272214,574013854.7803943,0.43363318225763936,0.7348832452742925,-1.0291455557949947,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-04-21_01-43-03.csv
0.9556567562862853,-96648902.6296038,254026746.31711632,0.19190203418728977,0.9004134528522318,0.5648579522104804,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-03_15-34-21.csv
0.9386486001585779,-122305698.00821662,273045736.2616376,0.2062697451132291,0.891869801538971,0.3979562267905722,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-03_03-04-40.csv
-22.28012191323007,-952254277.7329729,4447375642.691945,3.3597266626490003,-1.623497723502449,-227.44877987533178,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-01_10-00-16.csv
-3.236840628126478,6771463141.228353,8121373337.539747,6.135212478463666,0.13776014306398343,-40.57628880249424,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-02_12-58-15.csv
0.9783304937270124,13663856.0557081,188015329.31115556,0.14203435140708573,0.9293474700272112,0.787356256680444,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-04_16-56-36.csv
,,,,0.0,,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-02_04-38-35.csv
0.9779705972246123,2933971.7125496,190387976.4389285,0.14382674459728886,0.9281662353299337,0.7838245777158257,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-05-04_21-03-29.csv
0.10516854899914518,-849737082.1621569,1255438488.723071,0.9484087926797216,0.301651808580962,-7.781017296092619,e073c2d6c459232b76090602de5d6b5bf63bcea4,../Deep_gravity/trade_predictions/prediction_2023-04-16_21-33-25.csv
