economy,,gdp,total_population,urban_population(%_of_total)
FRA,YR2005,2224791087607.91,63188395.0,77.13
FRA,YR2006,2279283420792.28,63628261.0,77.377
FRA,YR2007,2334550031985.42,64021737.0,77.621
FRA,YR2008,2340501872979.04,64379696.0,77.868
FRA,YR2009,2273251909006.52,64710879.0,78.117
FRA,YR2010,2317567536989.14,65030575.0,78.369
FRA,YR2011,2368384855035.17,65345233.0,78.622
FRA,YR2012,2375801091055.54,65662240.0,78.878
FRA,YR2013,2389493466482.81,66002289.0,79.135
FRA,YR2014,2412341398046.84,66312067.0,79.394
FRA,YR2015,2439188643162.5,66548272.0,79.655
FRA,YR2016,2465909086487.94,66724104.0,79.917
FRA,YR2017,2522413420333.78,66918020.0,80.18
FRA,YR2018,2569458097202.24,67158348.0,80.444
GBR,YR1995,1961657209971.38,58019030.0,78.353
GBR,YR1996,1999081845521.52,58166950.0,78.413
GBR,YR1997,2086373375047.13,58316954.0,78.472
GBR,YR1998,2152246177454.06,58487141.0,78.532
GBR,YR1999,2217116394065.01,58682466.0,78.591
GBR,YR2000,2307855285267.75,58892514.0,78.651
GBR,YR2001,2357645605496.07,59119673.0,78.751
GBR,YR2002,2399393975746.24,59370479.0,79.047
GBR,YR2003,2474328328787.79,59647577.0,79.339
GBR,YR2004,2532350622459.43,59987905.0,79.629
GBR,YR2005,2599922287719.73,60401206.0,79.915
GBR,YR2006,2656091147154.86,60846820.0,80.199
GBR,YR2007,2724178993507.05,61322463.0,80.479
GBR,YR2008,2719974378108.14,61806995.0,80.757
GBR,YR2009,2597290325456.68,62276270.0,81.031
GBR,YR2010,2660406373660.76,62766365.0,81.302
GBR,YR2011,2688809162463.69,63258810.0,81.57
GBR,YR2012,2727755400457.14,63700215.0,81.837
GBR,YR2013,2777396821941.01,64128273.0,82.102
GBR,YR2014,2866265260991.21,64602298.0,82.365
GBR,YR2015,2934857946213.47,65116219.0,82.626
GBR,YR2016,2998403672734.88,65611593.0,82.886
GBR,YR2017,3071671779449.63,66058859.0,83.143
GBR,YR2018,3124044429026.19,66460344.0,83.398
GMB,YR1995,770748728.83124,1242155.0,43.362
GMB,YR1996,787886678.574085,1279070.0,44.258
GMB,YR1997,826493118.811998,1317002.0,45.155
GMB,YR1998,855420367.242976,1356189.0,46.057
GMB,YR1999,910167262.620829,1396499.0,46.961
GMB,YR2000,960226464.033935,1437539.0,47.868
GMB,YR2001,1015919601.2835,1479449.0,48.775
GMB,YR2002,982902212.720932,1522223.0,49.683
GMB,YR2003,1050427591.01692,1566257.0,50.555
GMB,YR2004,1124482736.1904,1612225.0,51.288
GMB,YR2005,1098037945.51549,1660368.0,52.02
GMB,YR2006,1091937455.56725,1711294.0,52.751
GMB,YR2007,1125167836.81472,1764883.0,53.481
GMB,YR2008,1195557273.78416,1820542.0,54.211
GMB,YR2009,1275249825.5969,1878119.0,54.937
GMB,YR2010,1350595867.70556,1937275.0,55.662
GMB,YR2011,1240786424.0015,1998212.0,56.384
GMB,YR2012,1305823103.61432,2061014.0,57.105
GMB,YR2013,1343336382.19183,2124869.0,57.82
GMB,YR2014,1324430501.09843,2189019.0,58.528
GMB,YR2015,1378176868.31568,2253133.0,59.228
GMB,YR2016,1404959801.54615,2317206.0,59.918
GMB,YR2017,1472715550.98331,2381182.0,60.599
GMB,YR2018,1579264906.00789,2444916.0,61.27
GRC,YR1995,168432797539.427,10562153.0,72.119
GRC,YR1996,173253561149.881,10608800.0,72.239
GRC,YR1997,181022595641.154,10661259.0,72.358
GRC,YR1998,188073253821.134,10720509.0,72.478
GRC,YR1999,193851986394.534,10761698.0,72.597
GRC,YR2000,201450539792.111,10805808.0,72.716
GRC,YR2001,209773694977.81,10862132.0,72.913
GRC,YR2002,218002847793.364,10902022.0,73.303
GRC,YR2003,230635091420.234,10928070.0,73.689
GRC,YR2004,242307515416.657,10955141.0,74.073
GRC,YR2005,243759281967.678,10987314.0,74.452
GRC,YR2006,257537613577.613,11020362.0,74.827
GRC,YR2007,265968743229.289,11048473.0,75.199
GRC,YR2008,265077289564.136,11077841.0,75.568
GRC,YR2009,253677021313.194,11107017.0,75.932
GRC,YR2010,239780041723.274,11121341.0,76.292
GRC,YR2011,215444010389.589,11104899.0,76.649
GRC,YR2012,200176146628.861,11045011.0,77.004
GRC,YR2013,195139720340.78,10965211.0,77.355
GRC,YR2014,196067992081.695,10892413.0,77.702
GRC,YR2015,195683527003.375,10820883.0,78.046
GRC,YR2016,194730209118.466,10775971.0,78.387
GRC,YR2017,196856953384.064,10754679.0,78.724
GRC,YR2018,200141371166.33,10732882.0,79.058
GRD,YR1995,522075520.543684,104060.0,34.47
GRD,YR1996,545246457.540367,104846.0,34.714
GRD,YR1997,572593264.226071,105549.0,34.959
GRD,YR1998,639893030.668409,106200.0,35.204
GRD,YR1999,684035171.111819,106823.0,35.45
GRD,YR2000,717470482.872629,107432.0,35.698
GRD,YR2001,702949597.477612,107936.0,35.919
GRD,YR2002,727112249.392527,108231.0,35.913
GRD,YR2003,795925959.486872,108740.0,35.907
GRD,YR2004,790772734.346373,109516.0,35.901
GRD,YR2005,895757211.825448,110254.0,35.895
GRD,YR2006,859968770.941257,110988.0,35.889
GRD,YR2007,912628536.79293,111725.0,35.883
GRD,YR2008,921276081.186115,112478.0,35.877
GRD,YR2009,860349501.94549,113249.0,35.871
GRD,YR2010,855950855.386535,114039.0,35.865
GRD,YR2011,862498681.055348,114918.0,35.859
GRD,YR2012,852535581.579412,115912.0,35.869
GRD,YR2013,872582263.295196,116945.0,35.896
GRD,YR2014,936642944.308208,117972.0,35.938
GRD,YR2015,997007407.407407,118980.0,35.997
GRD,YR2016,1034300993.92112,119966.0,36.072
GRD,YR2017,1080214819.04837,120921.0,36.164
GRD,YR2018,1127327545.68561,121838.0,36.272
GTM,YR1995,30509494153.7098,10286786.0,43.654
GTM,YR1996,31411897835.5379,10536942.0,43.989
GTM,YR1997,32782741311.0725,10788362.0,44.323
GTM,YR1998,34419756613.0456,11046215.0,44.659
GTM,YR1999,35743906055.2192,11311078.0,44.995
GTM,YR2000,37033856699.2542,11589761.0,45.332
GTM,YR2001,37897699132.5642,11871565.0,45.668
GTM,YR2002,39352700601.0882,12147518.0,46.005
GTM,YR2003,40360278359.0408,12415334.0,46.318
GTM,YR2004,41626750328.7627,12682108.0,46.616
GTM,YR2005,42990453877.9055,12948292.0,46.913
GTM,YR2006,45291044075.3986,13213330.0,47.21
GTM,YR2007,48161463040.7346,13477017.0,47.508
GTM,YR2008,49747672384.8696,13739299.0,47.807
GTM,YR2009,49984918092.5488,14000190.0,48.104
GTM,YR2010,51426570817.8819,14259687.0,48.403
GTM,YR2011,53567925339.8243,14521515.0,48.701
GTM,YR2012,55161415004.8632,14781942.0,49.0
GTM,YR2013,57199529556.8023,15043981.0,49.311
GTM,YR2014,59741463827.8038,15306316.0,49.634
GTM,YR2015,62186186575.7433,15567419.0,49.971
GTM,YR2016,63851409868.9298,15827690.0,50.319
GTM,YR2017,65817938467.9666,16087418.0,50.68
GTM,YR2018,68060272306.0466,16346950.0,51.054
HKG,YR1995,157718399024.401,6156100.0,100.0
HKG,YR1996,164434899502.847,6435500.0,100.0
HKG,YR1997,172820616877.864,6489300.0,100.0
HKG,YR1998,162654084725.727,6543700.0,100.0
HKG,YR1999,166731405420.603,6606500.0,100.0
HKG,YR2000,179508841257.812,6665000.0,100.0
HKG,YR2001,180515539895.727,6714300.0,100.0
HKG,YR2002,183506084968.827,6744100.0,100.0
HKG,YR2003,189114602751.624,6730800.0,100.0
HKG,YR2004,205567699622.259,6783500.0,100.0
HKG,YR2005,220755441085.113,6813200.0,100.0
HKG,YR2006,236280293902.6,6857100.0,100.0
HKG,YR2007,251555413145.239,6916300.0,100.0
HKG,YR2008,256908403070.708,6957800.0,100.0
HKG,YR2009,250590896883.772,6972800.0,100.0
HKG,YR2010,267550066386.129,7024200.0,100.0
HKG,YR2011,280431799307.961,7071600.0,100.0
HKG,YR2012,285200030245.642,7150100.0,100.0
HKG,YR2013,294045581878.199,7178900.0,100.0
HKG,YR2014,302168354714.317,7229500.0,100.0
HKG,YR2015,309383627028.561,7291300.0,100.0
HKG,YR2016,316114033784.956,7336600.0,100.0
HKG,YR2017,328114108684.772,7393200.0,100.0
HKG,YR2018,337455303240.589,7452600.0,100.0
HRV,YR1995,33385967318.1909,4620030.0,52.279
HRV,YR1996,35473654592.7596,4557097.0,52.509
HRV,YR1997,37663510304.5764,4534920.0,52.739
HRV,YR1998,38539242872.9482,4532135.0,52.968
HRV,YR1999,38251680949.4394,4512597.0,53.198
HRV,YR2000,39347234700.2683,4468302.0,53.428
HRV,YR2001,40557054995.0861,4299642.0,53.642
HRV,YR2002,42894575114.8145,4302174.0,53.81
HRV,YR2003,45281116004.8261,4303399.0,53.979
HRV,YR2004,47162158847.9233,4304600.0,54.147
HRV,YR2005,49172617036.5257,4310145.0,54.315
HRV,YR2006,51575652378.8411,4311159.0,54.483
HRV,YR2007,54155008740.8506,4310217.0,54.651
HRV,YR2008,55239118376.5197,4309705.0,54.819
HRV,YR2009,51265522910.4937,4305181.0,54.987
HRV,YR2010,50638145959.7853,4295427.0,55.155
HRV,YR2011,50594286347.9332,4280622.0,55.322
HRV,YR2012,49414598778.6684,4267558.0,55.506
HRV,YR2013,49218013834.1149,4255689.0,55.706
HRV,YR2014,49006691081.5331,4238389.0,55.923
HRV,YR2015,50242783066.1173,4203604.0,56.155
HRV,YR2016,52031104329.2995,4174349.0,56.403
HRV,YR2017,53806649022.2,4124531.0,56.667
HRV,YR2018,55313599034.9693,4087843.0,56.947
HUN,YR1995,79280778283.9448,10328965.0,65.209
HUN,YR1996,79346116187.6974,10311238.0,65.083
HUN,YR1997,81840061575.3627,10290486.0,64.956
HUN,YR1998,85031827660.5837,10266570.0,64.829
HUN,YR1999,87643177933.1084,10237530.0,64.702
HUN,YR2000,91568886542.0243,10210971.0,64.575
HUN,YR2001,95299483590.3448,10187576.0,64.67
HUN,YR2002,99817905184.6813,10158608.0,65.081
HUN,YR2003,103884735932.983,10129552.0,65.489
HUN,YR2004,109083772922.95,10107146.0,65.896
HUN,YR2005,113768132959.824,10087065.0,66.365
HUN,YR2006,118257499574.879,10071370.0,66.895
HUN,YR2007,118585513679.933,10055780.0,67.421
HUN,YR2008,119776044677.938,10038188.0,67.943
HUN,YR2009,111873380290.514,10022650.0,68.46
HUN,YR2010,113077422068.682,10000023.0,68.911
HUN,YR2011,115188393760.125,9971727.0,69.358
HUN,YR2012,113748278485.318,9920362.0,69.678
HUN,YR2013,115798616344.321,9893082.0,69.953
HUN,YR2014,120699456740.623,9866468.0,70.227
HUN,YR2015,125174166987.372,9843028.0,70.5
HUN,YR2016,127929252772.234,9814023.0,70.779
HUN,YR2017,133394359768.376,9787966.0,71.062
HUN,YR2018,140547408554.321,9775564.0,71.351
IDN,YR1995,380895161146.503,198140162.0,36.076
IDN,YR1996,410674257411.067,201373791.0,37.235
IDN,YR1997,429975449993.557,204628007.0,38.406
IDN,YR1998,373533752988.269,207855486.0,39.593
IDN,YR1999,376488875933.227,210996910.0,40.792
IDN,YR2000,395012383689.125,214072421.0,42.002
IDN,YR2001,409404527351.182,217112437.0,42.783
IDN,YR2002,427825583308.405,220115092.0,43.568
IDN,YR2003,448277225387.513,223080121.0,44.356
IDN,YR2004,470829487520.977,225938595.0,45.149
IDN,YR2005,497631791817.584,228805144.0,45.942
IDN,YR2006,525006276753.314,231797427.0,46.738
IDN,YR2007,558318041704.736,234858289.0,47.535
IDN,YR2008,591893633878.692,237936543.0,48.335
IDN,YR2009,619291627728.719,240981299.0,49.134
IDN,YR2010,657835435591.365,244016173.0,49.914
IDN,YR2011,698422462409.202,247099697.0,50.595
IDN,YR2012,740537690664.799,250222695.0,51.276
IDN,YR2013,781691322850.807,253275918.0,51.955
IDN,YR2014,820828015498.845,256229761.0,52.635
IDN,YR2015,860854235065.079,259091970.0,53.313
IDN,YR2016,904181624278.983,261850182.0,53.989
IDN,YR2017,950021696789.269,264498852.0,54.659
IDN,YR2018,999178589070.128,267066843.0,55.325
IND,YR1995,596058659383.044,964279129.0,26.607
IND,YR1996,641058240489.184,983281218.0,26.817
IND,YR1997,667019950767.341,1002335230.0,27.028
IND,YR1998,708271238131.198,1021434576.0,27.24
IND,YR1999,770923180565.542,1040500054.0,27.453
IND,YR2000,800534271756.884,1059633675.0,27.667
IND,YR2001,839151774957.445,1078970907.0,27.918
IND,YR2002,871072901385.714,1098313039.0,28.244
IND,YR2003,939542554364.62,1117415123.0,28.572
IND,YR2004,1013981915397.82,1136264583.0,28.903
IND,YR2005,1094324068978.9,1154638713.0,29.235
IND,YR2006,1182534605661.62,1172373788.0,29.569
IND,YR2007,1273126394881.57,1189691809.0,29.906
IND,YR2008,1312423962607.78,1206734806.0,30.246
IND,YR2009,1415605275566.11,1223640160.0,30.587
IND,YR2010,1535897532897.39,1240613620.0,30.93
IND,YR2011,1616398760695.38,1257621191.0,31.276
IND,YR2012,1704595760877.17,1274487215.0,31.634
IND,YR2013,1813453059872.84,1291132063.0,32.003
IND,YR2014,1947834059120.86,1307246509.0,32.384
IND,YR2015,2103587813812.75,1322866505.0,32.777
IND,YR2016,2277266450219.57,1338636340.0,33.182
IND,YR2017,2432015436983.77,1354195680.0,33.6
IND,YR2018,2588974097973.61,1369003306.0,34.03
IRL,YR1995,102165479206.052,3608841.0,57.949
IRL,YR1996,109704907771.2,3637510.0,58.173
IRL,YR1997,121796324887.1,3674171.0,58.419
IRL,YR1998,132473139695.762,3712696.0,58.664
IRL,YR1999,146422410628.217,3754786.0,58.91
IRL,YR2000,160191278093.194,3805174.0,59.155
IRL,YR2001,168690740424.778,3866243.0,59.399
IRL,YR2002,178642424207.669,3931947.0,59.649
IRL,YR2003,184026417613.381,3996521.0,59.925
IRL,YR2004,196518388854.028,4070262.0,60.202
IRL,YR2005,207798116295.995,4159914.0,60.477
IRL,YR2006,218162781857.521,4273591.0,60.738
IRL,YR2007,229747483326.76,4398942.0,60.94
IRL,YR2008,219445444220.344,4489544.0,61.141
IRL,YR2009,208262981116.422,4535375.0,61.342
IRL,YR2010,211767987813.551,4560155.0,61.542
IRL,YR2011,213533773140.929,4580084.0,61.742
IRL,YR2012,213521939076.437,4599533.0,61.942
IRL,YR2013,215925533436.556,4623816.0,62.141
IRL,YR2014,234601689874.762,4657740.0,62.34
IRL,YR2015,291775166506.891,4701957.0,62.538
IRL,YR2016,297630084892.439,4755335.0,62.737
IRL,YR2017,324432693194.991,4807388.0,62.947
IRL,YR2018,352098825394.701,4867316.0,63.17
ISL,YR1995,9144289754.98199,267468.0,91.63
ISL,YR1996,9561920769.22616,268916.0,91.797
ISL,YR1997,10113797776.4047,271128.0,91.96
ISL,YR1998,10858456575.5095,274047.0,92.121
ISL,YR1999,11296586994.517,277381.0,92.267
ISL,YR2000,11859726687.7669,281205.0,92.401
ISL,YR2001,12335716528.3788,284968.0,92.532
ISL,YR2002,12404737216.2574,287523.0,92.662
ISL,YR2003,12670532078.9946,289521.0,92.789
ISL,YR2004,13659137611.5282,292074.0,92.914
ISL,YR2005,14495683157.7376,296734.0,93.037
ISL,YR2006,15411374460.634,303782.0,93.159
ISL,YR2007,16714384610.1713,311566.0,93.278
ISL,YR2008,17083688339.561,317414.0,93.395
ISL,YR2009,15774426999.3488,318499.0,93.511
ISL,YR2010,15327572988.2618,318041.0,93.574
ISL,YR2011,15610486135.6369,319014.0,93.587
ISL,YR2012,15776524980.7745,320716.0,93.6
ISL,YR2013,16494745020.423,323764.0,93.633
ISL,YR2014,16773046835.507,327386.0,93.667
ISL,YR2015,17517210519.0912,330815.0,93.7
ISL,YR2016,18621440660.0019,335439.0,93.735
ISL,YR2017,19402600566.9271,343400.0,93.773
ISL,YR2018,20351154562.7013,352721.0,93.813
ISR,YR1995,143461517687.921,5545000.0,90.866
ISR,YR1996,151966334119.463,5692000.0,90.943
ISR,YR1997,157726545602.676,5836000.0,91.009
ISR,YR1998,164217868444.75,5971000.0,91.074
ISR,YR1999,169687132284.208,6125000.0,91.139
ISR,YR2000,184401815445.307,6289000.0,91.203
ISR,YR2001,185017847776.682,6439000.0,91.267
ISR,YR2002,184806518674.157,6570000.0,91.33
ISR,YR2003,187382560696.368,6689700.0,91.393
ISR,YR2004,196347818275.374,6809000.0,91.456
ISR,YR2005,204464987521.976,6930100.0,91.518
ISR,YR2006,215879588868.402,7053700.0,91.58
ISR,YR2007,228904065520.347,7180100.0,91.641
ISR,YR2008,236346110629.905,7308800.0,91.702
ISR,YR2009,238433331332.276,7485600.0,91.763
ISR,YR2010,251948960764.976,7623600.0,91.826
ISR,YR2011,265960192873.376,7765800.0,91.892
ISR,YR2012,272842322027.358,7910500.0,91.96
ISR,YR2013,284889679087.518,8059500.0,92.031
ISR,YR2014,296054867115.476,8215700.0,92.104
ISR,YR2015,303414276832.04,8380100.0,92.179
ISR,YR2016,317133700441.662,8546000.0,92.256
ISR,YR2017,330696227434.501,8713300.0,92.336
ISR,YR2018,344156628360.705,8882800.0,92.418
JPN,YR1995,3785636263364.36,125472000.0,78.016
JPN,YR1996,3904273220115.03,125757000.0,78.145
JPN,YR1997,3942583070731.74,126057000.0,78.272
JPN,YR1998,3892499235707.73,126400000.0,78.398
JPN,YR1999,3879501014654.61,126631000.0,78.523
JPN,YR2000,3986755544464.21,126843000.0,78.649
JPN,YR2001,4002148544213.45,127149000.0,79.99
JPN,YR2002,4003827945768.8,127445000.0,81.647
JPN,YR2003,4065291729511.6,127718000.0,83.196
JPN,YR2004,4154163710034.48,127761000.0,84.64
JPN,YR2005,4229100705435.47,127773000.0,85.978
JPN,YR2006,4287138774363.71,127854000.0,87.118
JPN,YR2007,4350758602409.6,128001000.0,88.146
JPN,YR2008,4297492743392.06,128063000.0,89.103
JPN,YR2009,4052826324007.5,128047000.0,89.989
JPN,YR2010,4218907820177.17,128070000.0,90.812
JPN,YR2011,4219912322037.65,127833000.0,91.069
JPN,YR2012,4277925608850.6,127629000.0,91.148
JPN,YR2013,4363702302795.86,127445000.0,91.226
JPN,YR2014,4376627829637.51,127276000.0,91.304
JPN,YR2015,4444930651964.18,127141000.0,91.381
JPN,YR2016,4478437728055.55,127076000.0,91.457
JPN,YR2017,4553466417292.21,126972000.0,91.535
JPN,YR2018,4580061760588.24,126811000.0,91.616
KAZ,YR1995,58532032231.6585,15816243.0,55.921
KAZ,YR1996,58824692394.0305,15578227.0,55.943
KAZ,YR1997,59824712164.432,15334405.0,55.964
KAZ,YR1998,58688042633.6519,15071640.0,55.986
KAZ,YR1999,60272619783.494,14928374.0,56.025
KAZ,YR2000,66179336523.5672,14883626.0,56.098
KAZ,YR2001,75113546953.2136,14858335.0,56.171
KAZ,YR2002,82474674554.3344,14858948.0,56.244
KAZ,YR2003,90144819288.1659,14909019.0,56.317
KAZ,YR2004,98798721941.0635,15012984.0,56.39
KAZ,YR2005,108382197968.583,15147029.0,56.463
KAZ,YR2006,119979093151.221,15308085.0,56.536
KAZ,YR2007,130657232441.673,15484192.0,56.609
KAZ,YR2008,134968921112.523,15776938.0,56.682
KAZ,YR2009,136588548165.103,16092822.0,56.755
KAZ,YR2010,146559512181.377,16321872.0,56.827
KAZ,YR2011,157404916083.801,16557202.0,56.9
KAZ,YR2012,164960352055.812,16792090.0,56.973
KAZ,YR2013,174857973177.932,17035551.0,57.046
KAZ,YR2014,182202008052.508,17288285.0,57.118
KAZ,YR2015,184388432148.715,17542806.0,57.191
KAZ,YR2016,186416704902.17,17794055.0,57.264
KAZ,YR2017,194059789803.79,18037776.0,57.336
KAZ,YR2018,202016241185.495,18276452.0,57.428
KOR,YR1995,604637550473.74,45092991.0,78.239
KOR,YR1996,652347705779.257,45524681.0,78.662
KOR,YR1997,692601162968.022,45953580.0,78.905
KOR,YR1998,657074545321.938,46286503.0,79.145
KOR,YR1999,732420905134.784,46616677.0,79.384
KOR,YR2000,798784342587.129,47008111.0,79.621
KOR,YR2001,837544550604.138,47370164.0,79.94
KOR,YR2002,902246062108.946,47644736.0,80.299
KOR,YR2003,930642372967.514,47892330.0,80.652
KOR,YR2004,979011499282.814,48082519.0,81.002
KOR,YR2005,1021192627905.49,48184561.0,81.345
KOR,YR2006,1074951542999.1,48438292.0,81.528
KOR,YR2007,1137293878173.46,48683638.0,81.631
KOR,YR2008,1171560370682.24,49054708.0,81.733
KOR,YR2009,1180847317902.24,49307835.0,81.835
KOR,YR2010,1261201910432.46,49554112.0,81.936
KOR,YR2011,1307685622912.81,49936638.0,81.923
KOR,YR2012,1339103175287.26,50199853.0,81.851
KOR,YR2013,1381481889126.85,50428893.0,81.779
KOR,YR2014,1425723208306.54,50746659.0,81.707
KOR,YR2015,1465773245547.15,51014947.0,81.634
KOR,YR2016,1508967849304.8,51217803.0,81.562
KOR,YR2017,1556645736778.48,51361911.0,81.503
KOR,YR2018,1601903713673.82,51585058.0,81.459
LCA,YR1995,1313869904.8299,152348.0,28.765
LCA,YR1996,1352268908.44465,153969.0,28.565
LCA,YR1997,1342882402.34944,155454.0,28.366
LCA,YR1998,1427302318.02603,156855.0,28.168
LCA,YR1999,1465419903.84773,158256.0,27.971
LCA,YR2000,1466134274.85385,159500.0,27.774
LCA,YR2001,1416167480.99958,160594.0,27.473
LCA,YR2002,1422065117.45652,161799.0,26.329
LCA,YR2003,1482710669.81363,163047.0,25.216
LCA,YR2004,1590465316.54732,164239.0,24.133
LCA,YR2005,1583939562.18351,165386.0,23.085
LCA,YR2006,1682068693.40122,166470.0,22.068
LCA,YR2007,1710522879.85194,167518.0,21.084
LCA,YR2008,1795182164.03797,168576.0,20.131
LCA,YR2009,1744398263.90823,169688.0,19.213
LCA,YR2010,1772376011.50757,170935.0,18.45
LCA,YR2011,1869562678.59406,172145.0,18.45
LCA,YR2012,1865826325.04233,173124.0,18.45
LCA,YR2013,1806597952.0422,173978.0,18.461
LCA,YR2014,1832182218.76372,174804.0,18.482
LCA,YR2015,1807227215.4535,175623.0,18.515
LCA,YR2016,1875052841.01345,176413.0,18.558
LCA,YR2017,1938561940.28756,177163.0,18.612
LCA,YR2018,1994408431.58142,177888.0,18.678
LTU,YR1995,17913320835.8734,3629102.0,67.285
LTU,YR1996,18837373099.266,3601613.0,67.225
LTU,YR1997,20402932401.8633,3575137.0,67.166
LTU,YR1998,21928206400.9148,3549331.0,67.106
LTU,YR1999,21677880321.5578,3524238.0,67.046
LTU,YR2000,22478991899.5918,3499536.0,66.986
LTU,YR2001,23945995391.1406,3470818.0,66.919
LTU,YR2002,25562688814.3281,3443067.0,66.828
LTU,YR2003,28263631519.6211,3415213.0,66.737
LTU,YR2004,30120407999.1594,3377075.0,66.646
LTU,YR2005,32449428669.3601,3322528.0,66.635
LTU,YR2006,34855268683.5691,3269909.0,66.706
LTU,YR2007,38726810730.7062,3231294.0,66.777
LTU,YR2008,39739293390.5074,3198231.0,66.848
LTU,YR2009,33842535273.8547,3162916.0,66.842
LTU,YR2010,34401356974.3984,3097282.0,66.757
LTU,YR2011,36478857729.3719,3028115.0,66.741
LTU,YR2012,37881055682.4922,2987773.0,66.864
LTU,YR2013,39225860752.8062,2957689.0,66.986
LTU,YR2014,40613283322.7621,2932367.0,67.108
LTU,YR2015,41435533340.3883,2904910.0,67.23
LTU,YR2016,42479223269.264,2868231.0,67.366
LTU,YR2017,44298437189.8902,2828403.0,67.516
LTU,YR2018,46067411257.316,2801543.0,67.679
LVA,YR1995,12350288663.5402,2485056.0,68.75
LVA,YR1996,12669916027.5586,2457222.0,68.65
LVA,YR1997,13789545456.7203,2432851.0,68.6
LVA,YR1998,14663242477.5719,2410019.0,68.451
LVA,YR1999,15067386986.0336,2390482.0,68.22
LVA,YR2000,15922572893.818,2367550.0,68.067
LVA,YR2001,16929438089.8539,2337170.0,67.95
LVA,YR2002,18129418442.5547,2310173.0,67.85
LVA,YR2003,19656434376.8445,2287955.0,67.8
LVA,YR2004,21284802094.6672,2263122.0,67.9
LVA,YR2005,23566610772.3461,2238799.0,68.0
LVA,YR2006,26387966692.6328,2218357.0,67.967
LVA,YR2007,29011437660.3379,2200325.0,67.9
LVA,YR2008,28068821027.2594,2177322.0,67.834
LVA,YR2009,24066167841.8371,2141669.0,67.814
LVA,YR2010,22993883546.7441,2097555.0,67.841
LVA,YR2011,23585679970.3973,2059709.0,67.869
LVA,YR2012,25246641848.4078,2034319.0,67.897
LVA,YR2013,25753586054.7246,2012647.0,67.925
LVA,YR2014,26243463733.7578,1993782.0,67.952
LVA,YR2015,27263090547.0617,1977527.0,67.98
LVA,YR2016,27908848130.1504,1959537.0,68.021
LVA,YR2017,28833322008.4414,1942248.0,68.075
LVA,YR2018,29984306271.8922,1927174.0,68.142
MAC,YR1995,13978346332.6819,396641.0,99.91
MAC,YR1996,13919739805.0336,404297.0,99.98
MAC,YR1997,13880783701.3615,411700.0,100.0
MAC,YR1998,13246339310.8786,418776.0,100.0
MAC,YR1999,12933886078.181,425518.0,100.0
MAC,YR2000,13677154746.4737,431896.0,100.0
MAC,YR2001,14072231691.6793,439122.0,100.0
MAC,YR2002,15326181553.8329,449665.0,100.0
MAC,YR2003,17110233204.3035,462533.0,100.0
MAC,YR2004,21666833271.5793,475529.0,100.0
MAC,YR2005,23416525408.7816,488619.0,100.0
MAC,YR2006,26552089552.7261,501863.0,100.0
MAC,YR2007,30395873363.1344,515330.0,100.0
MAC,YR2008,31426773675.9442,529038.0,100.0
MAC,YR2009,31827251614.8743,543021.0,100.0
MAC,YR2010,39823135537.025,557297.0,100.0
MAC,YR2011,48431515130.4807,571003.0,100.0
MAC,YR2012,52907674865.6902,582766.0,100.0
MAC,YR2013,58596759893.6996,593374.0,100.0
MAC,YR2014,57396475224.5102,604167.0,100.0
MAC,YR2015,45047964934.2517,615239.0,100.0
MAC,YR2016,44742061842.8796,626688.0,100.0
MAC,YR2017,49208798567.7614,638609.0,100.0
MAC,YR2018,52389983871.4635,650991.0,100.0
MAR,YR1995,39603219574.0964,26599048.0,51.692
MAR,YR1996,44503276933.315,26999093.0,52.022
MAR,YR1997,43808713241.6908,27397118.0,52.35
MAR,YR1998,46979830032.35,27791825.0,52.678
MAR,YR1999,47487838231.939,28176997.0,53.007
MAR,YR2000,48396220258.5667,28554415.0,53.335
MAR,YR2001,51938807830.5602,28930097.0,53.662
MAR,YR2002,53560051568.9205,29301817.0,53.99
MAR,YR2003,56752853093.1292,29661270.0,54.317
MAR,YR2004,59475297877.0581,30033125.0,54.644
MAR,YR2005,61433010384.3564,30431902.0,55.174
MAR,YR2006,66086334629.1513,30833022.0,55.746
MAR,YR2007,68420235757.8848,31232633.0,56.317
MAR,YR2008,72472956315.2237,31634992.0,56.886
MAR,YR2009,75548532704.4756,32042877.0,57.452
MAR,YR2010,78431251602.7345,32464865.0,58.018
MAR,YR2011,82545517648.2937,32903699.0,58.581
MAR,YR2012,85030105753.2061,33352169.0,59.142
MAR,YR2013,88886581746.8554,33803527.0,59.7
MAR,YR2014,105817056786.059,34248603.0,60.256
MAR,YR2015,110414366621.263,34680458.0,60.809
MAR,YR2016,110989830300.175,35107264.0,61.36
MAR,YR2017,116603582880.98,35528115.0,61.908
MAR,YR2018,120178230514.273,35927511.0,62.453
MDA,YR1995,4435095429.28498,2953200.0,46.294
MDA,YR1996,4174442200.74922,2947293.0,46.2
MDA,YR1997,4243197956.44046,2936413.0,45.797
MDA,YR1998,3965599798.21018,2935227.0,45.394
MDA,YR1999,3832028303.39744,2930622.0,44.992
MDA,YR2000,3912796578.89458,2924668.0,44.589
MDA,YR2001,4151477186.36163,2918135.0,44.189
MDA,YR2002,4475292392.01478,2911385.0,43.789
MDA,YR2003,4770661691.57799,2903198.0,43.389
MDA,YR2004,5123690641.96145,2896023.0,42.99
