iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,DNK,0,0,0,0,0,0,0,0,8408.59,8408.59,8331.917370068359,8331.029084350876
ABW,DOM,0,1,0,0,0,0,0,0,663.0993,663.0993,699.2701452713012,695.8729381043667
ABW,DZA,0,0,0,0,0,0,0,0,7686.4067,7686.4067,7710.016822094726,7701.793287396245
ABW,ECU,0,1,0,0,0,0,0,0,1698.3993,1698.3993,1873.7704407409667,1863.8436583289806
ABW,EGY,0,0,1,0,0,0,0,0,10383.609,10383.609,10362.265805493163,10361.410772426905
ABW,ERI,0,0,1,0,0,0,0,0,11620.09,11620.09,11668.223756567382,11666.294519643858
ABW,ESH,0,0,0,0,0,0,0,0,6124.0127,6124.0127,6084.671166003418,6081.951393459902
ABW,ESP,0,1,0,0,0,0,0,0,7121.5244,7121.5244,7186.835199414062,7171.043879648697
ABW,EST,0,0,0,0,0,0,0,0,9088.512,9088.512,9140.628730932616,9140.022392651766
ABW,ETH,0,0,0,0,0,0,0,0,11817.333,11817.333,11800.588288671875,11799.449710015217
ABW,FIN,0,0,0,0,0,0,0,0,9087.563,9087.563,9056.37346796875,9055.602031257582
ABW,FJI,0,0,1,0,0,0,0,0,12692.412,12692.412,12718.237786987303,12717.947463376162
ABW,FLK,0,0,1,0,0,0,0,0,7248.1436,7248.1436,7245.113193640136,7244.385526410261
ABW,FRA,0,0,0,0,0,0,0,0,7685.884,7685.884,7716.751836889648,7711.830087640176
ABW,FRO,0,0,0,0,0,0,0,0,7410.5073,7410.5073,7411.007624829102,7410.993986396264
ABW,FSM,0,0,1,0,0,0,0,0,14263.712,14263.712,14778.641157177733,14760.917815084164
ABW,GAB,0,0,0,0,0,0,0,0,8868.927,8868.927,8929.760926098632,8927.159094642102
ABW,GBR,0,0,1,0,0,0,0,0,7541.2427,7541.2427,7480.796475195312,7479.964233099798
ABW,GEO,0,0,0,0,0,0,0,0,11056.94,11056.94,10965.281045092774,10963.9694208412
ABW,GHA,0,0,1,0,0,0,0,0,7697.9443,7697.9443,7620.655882006836,7619.561448789884
ABW,GIB,0,1,1,0,0,0,0,0,6937.0156,6937.0156,6930.323544750976,6930.323146724505
ABW,GIN,0,0,0,0,0,0,0,0,5940.8125,5940.8125,6247.763073535156,6242.909293555655
ABW,GLP,0,0,0,0,0,0,0,0,980.5495,980.5495,999.6448754302978,999.3907147593159
ABW,GMB,0,0,1,0,0,0,0,0,5785.5024,5785.5024,5805.38984152832,5804.3879009753855
ABW,GNB,0,0,0,0,0,0,0,0,5912.736,5912.736,5917.131877770996,5916.9007683737855
ABW,GNQ,0,1,0,0,0,0,0,0,8721.603,8721.603,8801.053465380859,8799.838462681124
ABW,GRC,0,0,0,0,0,0,0,0,9491.157,9491.157,9457.369695361327,9456.785812822496
ABW,GRD,0,0,1,0,0,0,0,0,911.348,911.348,902.1114632202148,902.0080265173666
ABW,GRL,0,0,0,0,0,0,0,0,5921.006,5921.006,6174.272165246582,6151.55553014866
ABW,GTM,0,1,0,0,0,0,0,0,2220.0676,2220.0676,2252.7255248168944,2251.4085249105046
ABW,GUF,0,0,0,0,0,0,0,0,2128.7905,2128.7905,2061.8013906311035,2057.798990235847
ABW,GUY,0,0,1,0,0,0,0,0,1458.4059,1458.4059,1463.9032712371825,1462.4188432961944
ABW,HKG,0,0,1,0,0,0,0,0,16131.13,16131.13,16132.21411484375,16132.207934076298
ABW,HND,0,1,0,0,0,0,0,0,1863.0504,1863.0504,1921.0804621948241,1918.6016829882722
ABW,HRV,0,0,0,0,0,0,0,0,8716.868,8716.868,8740.688606665039,8739.731750457784
ABW,HTI,0,0,0,0,0,0,0,0,709.3878,709.3878,741.5887239700318,739.215986552388
ABW,HUN,0,0,0,0,0,0,0,0,8927.636,8927.636,8940.499546118164,8939.645881323244
ABW,IDN,0,0,0,0,1,0,0,0,19240.393,19240.393,19054.847500390624,19043.138949418284
ABW,IND,0,0,1,0,0,0,0,0,14258.173,14258.173,14750.658353320312,14736.860090064647
ABW,IRL,0,0,1,0,0,0,0,0,7174.0166,7174.0166,7123.465475854492,7122.625542990737
ABW,IRN,0,0,0,0,0,0,0,0,11880.18,11880.18,11939.983292993164,11930.09340665034
ABW,IRQ,0,0,0,0,0,0,0,0,11426.339,11426.339,11443.272219360351,11440.458278448756
ABW,ISL,0,0,0,0,0,0,0,0,6827.22,6827.22,6857.101180541992,6856.185646608911
ABW,ISR,0,0,1,0,0,0,0,0,10635.04,10635.04,10642.417982861329,10642.380965400485
ABW,ITA,0,0,0,0,0,0,0,0,8480.133,8480.133,8427.789374511718,8422.342766953328
ABW,JAM,0,0,1,0,0,0,0,0,938.35114,938.35114,977.9513464141845,976.2388124405184
ABW,JOR,0,0,1,0,0,0,0,0,10744.009,10744.009,10735.076887841797,10735.062669873052
ABW,JPN,0,0,0,0,0,0,0,0,13815.841,13815.841,13944.010086767577,13937.187764672504
ABW,KAZ,0,0,0,0,0,0,0,0,12977.214,12028.064,12272.96734350586,12246.684006544003
ABW,KEN,0,0,1,0,0,0,0,0,11887.174,11887.174,11902.339974389648,11899.198014966205
ABW,KGZ,0,0,0,0,0,0,0,0,12891.457,12891.457,12931.079891748046,12930.751699648617
ABW,KHM,0,0,0,0,0,0,0,0,17292.002,17292.002,17255.063114501954,17254.566510825392
ABW,KIR,0,0,1,0,0,0,0,0,12879.5205,12879.5205,12784.470147216796,12752.666177645857
ABW,KNA,0,0,1,0,0,0,0,0,952.67194,952.67194,1383.822179260254,976.508657920494
ABW,KOR,0,0,1,0,0,0,0,0,14183.6045,14183.6045,14259.76645505371,14259.242518161078
ABW,KWT,0,0,1,0,0,0,0,0,11922.281,11922.281,11920.18921730957,11920.180343781436
ABW,LAO,0,0,0,0,0,0,0,0,16543.053,16543.053,16573.994467529297,16570.50254458591
ABW,LBN,0,0,1,0,0,0,0,0,10635.638,10635.638,10634.899534423828,10634.88491109999
ABW,LBR,0,0,1,0,0,0,0,0,6538.7207,6538.7207,6573.055801586914,6571.4860441361
ABW,LBY,0,0,0,0,0,0,0,0,8638.483,8638.483,8900.734591772461,8887.954876653874
ABW,LCA,0,0,1,0,0,0,0,0,1000.8457,1000.8457,989.2424757415771,989.2025901506382
ABW,LKA,0,0,0,0,0,0,0,0,16067.5625,16067.5625,16049.497037792968,16049.179529302517
ABW,LSO,0,0,1,0,0,0,0,0,11423.006,11423.006,11425.879521020508,11425.768568044723
ABW,LTU,0,0,0,0,0,0,0,0,9223.909,9223.909,9122.045166308593,9121.059323059178
ABW,LUX,0,0,0,0,0,0,0,0,7967.711,7967.711,7957.687149145508,7957.678252230823
ABW,LVA,0,0,0,0,0,0,0,0,9100.948,9100.948,9111.285722827148,9110.400093125787
ABW,MAC,0,0,0,0,0,0,0,0,16137.888,16137.888,,
ABW,MAR,0,0,0,0,0,0,0,0,6782.7393,6782.7393,6777.430811706543,6773.627168340926
ABW,MDA,0,0,0,0,0,0,0,0,9662.548,9662.548,9653.516884204102,9653.259360787475
ABW,MDG,0,0,0,0,0,0,0,0,13342.618,13342.618,13328.069370751953,13326.892307412198
